symbol,ActivePremium,Alpha,AnnualizedAlpha,Beta,Beta-,Beta+,Correlation,Correlationp-value,InformationRatio,R-squared,TrackingError,TreynorRatio
WCN.TO,-0.0234,9e-4,0.2618,0.3508,0.3961,0.3397,0.3121,0.0029,-0.1303,0.0974,0.1795,1.1443
WDO.TO,-0.2661,2e-4,0.0507,0.4381,0.5231,-0.086,0.1964,0.0652,-0.8274,0.0386,0.3216,0.3749
WFG.TO,0.1247,0.0013,0.3998,0.4284,0.8441,0.4746,0.1978,0.0632,0.3965,0.0391,0.3144,1.2106
WPRT.TO,-1.2648,-0.0066,-0.8112,0.7781,1.998,1.244,0.135,0.2072,-1.5602,0.0182,0.8107,-1.0504
WTE.TO,2.1015,0.005,2.535,0.344,0.3605,0.0389,0.0926,0.3878,3.941,0.0086,0.5333,7.2469
WPM.TO,-0.611,-0.0011,-0.2441,0.3477,0.2155,0.4162,0.1957,0.0661,-2.3137,0.0383,0.2641,-0.4378
WCP.TO,-0.1232,8e-4,0.2142,0.4527,0.5261,1.2848,0.1545,0.1482,-0.2936,0.0239,0.4194,1.0067
WPK.TO,-0.3771,0,0.0105,0.1839,0.2912,0.5288,0.1605,0.133,-1.8953,0.0258,0.199,0.3515
WIR-UN.TO,0.4053,0.0025,0.876,-0.2216,0.3648,-0.4836,-0.1091,0.3516,1.147,0.0119,0.3533,-3.0828
WSP.TO,0.1399,0.001,0.2842,0.6137,0.71,0.7848,0.4205,0,0.713,0.1768,0.1962,0.9765
YRI.TO,-0.4683,1e-4,0.0245,0.0355,-0.3578,-0.0692,0.0146,0.8919,-1.2597,2e-4,0.3718,-0.8991
