symbol,ActivePremium,Alpha,AnnualizedAlpha,Beta,Beta-,Beta+,Correlation,Correlationp-value,InformationRatio,R-squared,TrackingError,TreynorRatio
GRT-UN.TO,0.3254,0.002,0.6747,0.178,0.4708,0.0261,0.1694,0.1125,1.7176,0.0287,0.1895,4.2076
GWO.TO,-0.2733,5e-4,0.1271,0.1192,0.3565,0.0866,0.1659,0.1203,-1.684,0.0275,0.1623,1.3535
HR-UN.TO,-0.2983,-1e-4,-0.0298,0.4873,0.9646,0.6689,0.3811,2e-4,-1.6258,0.1452,0.1835,0.3167
HCG.TO,-0.0055,7e-4,0.1876,0.5959,0.9299,0.8399,0.33,0.0016,-0.0223,0.1089,0.2485,0.7983
HBM.TO,-0.4183,-0.0012,-0.2621,1.2189,1.285,2.1953,0.3383,0.0012,-0.8682,0.1145,0.4818,0.0516
H.TO,-0.394,2e-4,0.0571,1e-4,0.0516,-0.0582,2e-4,0.9985,-2.3045,0,0.171,481.9774
IAG.TO,-0.165,6e-4,0.1601,0.3039,0.5424,0.0946,0.2422,0.0222,-0.8262,0.0587,0.1997,0.937
IMG.TO,-0.4832,2e-4,0.0386,0.0977,-0.4739,0.2331,0.0294,0.7848,-0.9878,9e-4,0.4891,-0.2974
IGM.TO,0.1288,0.001,0.2997,0.5355,0.774,0.1842,0.5189,0,0.9009,0.2693,0.1429,1.0669
IMO.TO,-0.0709,9e-4,0.2616,0.3805,0.7046,0.9264,0.1591,0.1365,-0.2045,0.0253,0.3466,1.0139
IFC.TO,-0.5052,-4e-4,-0.0996,0.1316,0.3211,0.0235,0.176,0.0989,-3.118,0.031,0.162,-0.3789
IPL.TO,-0.46,-5e-4,-0.1151,-0.0283,0.1559,0.0967,-0.0322,0.7729,-2.341,0.001,0.1965,5.114
IFP.TO,-0.5867,-0.0015,-0.3146,0.8233,1.1108,0.8527,0.2826,0.0073,-1.4703,0.0798,0.3991,-0.2028
IIP-UN.TO,-0.2391,4e-4,0.1072,0.2624,0.7072,0.0062,0.2307,0.0297,-1.2675,0.0532,0.1887,0.9163
ITP.TO,-0.282,-1e-4,-0.0136,0.5269,0.6038,0.1924,0.2836,0.0071,-1.0445,0.0805,0.27,0.1393
IVN.TO,-0.2264,0,0.002,0.7166,0.457,1.642,0.2624,0.013,-0.6015,0.0688,0.3764,0.3086
JWEL.TO,0.1054,0.0018,0.5803,0.0033,0.3249,0.8286,0.0024,0.9824,0.4307,0,0.2448,159.083
KNT.TO,-0.8261,-0.0024,-0.4608,0.6236,0.7802,0.7555,0.2014,0.0585,-1.8884,0.0405,0.4375,-0.6727
KEY.TO,-0.6522,-0.0015,-0.3107,0.4391,0.6979,0.5535,0.2784,0.0083,-2.8397,0.0775,0.2297,-0.4562
